trace_id,question,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,chrf_score
06341c478907241c,Puis-je être immatriculé dans deux universités en même temps?,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.09090909090909091,0.05,0.7620520073970067,0.6108374384236454,0.35465634474749097
0dfd57bd784ff0b0,A combien de semaines de vacances par an ai-je le droit à partir de 60 ans en tant qu'employé à l'EPFL ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36576793187239,0.06493506493506493,0.18560620785705337
2846396614a5b1ea,Quelles sont les conditons de réussite pour un bloc au niveau master à l'EPFL ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05263157894736842,0.05,0.5794227936449192,0.4748201438848921,0.1676822738340701
41d7db315fcf306b,"J'envisage de commencer mes études à l'EPFL. ""Combien d'années faut-il compter pour faire sa formation à l'EPFL ?""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6005377174331222,0.14380165289256197,0.06800378439724612
473f70256b2cf8da,Est-ce qu'une décision de la Commission des prix de la recherche ou d’un jury spécifique doit être notifiées formellement au candidat par le biais d'une lettre recommandée ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.426883569113627,0.12371134020618557,0.22533913756396276
5d08a011599837ca,Je viens d'obtenir mon bachelor à l'EPFL. Quel est mon titre officiel ?,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2,0.05,0.6745702314089936,0.8978723404255319,0.4037137294408769
6122552ac34f92a2,"En tant qu’étudiant, puis-je créer un site web pour mon association avec un nom de domaine externe (ex: monlabo.ch) au lieu d’un site epfl.ch ? Est-ce que j'ai des contraintes à respecter concernant le choix du nom de domaine ?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3680392641284473,0.5559105431309904,0.26704632942723006
673df87d0980e92b,Existe-t-il un code d'honneur pour les étudiants en bachelor et où puis-je le trouver?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8166480891832439,0.950354609929078,0.49555664206159217
86f79c42911f2dc1,Quels sont les membres qui composent la Direction de l'EPFL ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.659742264774372,0.9891304347826086,0.31199111964363946
962d8e23b964b654,"Je suis en première année de bachelor et j'ai obtenu la moyenne de 3,49 au semestre. Comment m'inscrire en BA2?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37472449605144376,0.6807692307692308,0.31510240793292527
a5c69263b7f76e88,Est-ce qu'un doctorant peut racheter son ordinateur ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7420545169739566,0.6340694006309149,0.27630866119865855
de41b4c552289056,Est-ce que le COSEC est rattaché à la VPF à l'EPFL ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47688849115354986,0.1631578947368421,0.2194175672261958
e898c602570f6d74,Les emprunts dans un travail écrit doivent-ils être reconnaissable via une note en bas de page ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2218879985766979,0.10689655172413794,0.19106199880180966
