trace_id,question,generated_answer,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,chrf_score
011386fd2c6c009e,Puis-je être immatriculé dans deux universités en même temps?,Le contexte fourni ne contient pas d'informations sur l'immatriculation simultanée dans deux universités.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7189369709657909,0.5172413793103449,0.2864951499926317
079031ece8668e2d,Quelles sont les conditons de réussite pour un bloc au niveau master à l'EPFL ?,Le contexte fourni ne contient pas d'informations sur les conditions de réussite pour un bloc au niveau master à l'EPFL.,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.125,0.05,0.571724992437638,0.4316546762589928,0.15782157281984296
16901515a7312b61,Les emprunts dans un travail écrit doivent-ils être reconnaissable via une note en bas de page ?,Le contexte fourni ne contient pas d'informations sur les règles concernant les emprunts dans un travail écrit ou l'utilisation de notes en bas de page.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39027769283331054,0.20394736842105263,0.16953669503773636
180645483ba34ae4,Est-ce que le COSEC est rattaché à la VPF à l'EPFL ?,Le contexte fourni ne contient pas d'informations sur le COSEC ou son rattachement à la VPF à l'EPFL.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6232879613480835,0.3069306930693069,0.30277781390596564
3290971d2746dd79,"En tant qu’étudiant, puis-je créer un site web pour mon association avec un nom de domaine externe (ex: monlabo.ch) au lieu d’un site epfl.ch ? Est-ce que j'ai des contraintes à respecter concernant le choix du nom de domaine ?","Le contexte fourni ne contient pas d'informations spécifiques sur les règles concernant la création de sites web pour les associations étudiantes à l'EPFL, ni sur les contraintes liées au choix d'un nom de domaine externe. Il n'y a donc pas de réponse claire à votre question dans les documents fournis.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40363834793708053,0.5742574257425742,0.29255036894162456
3431aba26b275df2,A combien de semaines de vacances par an ai-je le droit à partir de 60 ans en tant qu'employé à l'EPFL ?,Le contexte fourni ne contient pas d'informations spécifiques sur le nombre de semaines de vacances par an pour les employés de l'EPFL à partir de 60 ans.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36576793187239,0.06493506493506493,0.18560620785705337
3c3320acaf5da8c4,Existe-t-il un code d'honneur pour les étudiants en bachelor et où puis-je le trouver?,Le contexte fourni ne contient pas d'informations sur un code d'honneur spécifique pour les étudiants en bachelor à l'EPFL.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6479915662320601,0.458955223880597,0.16706114188422616
4652dc2388698ac1,Quels sont les membres qui composent la Direction de l'EPFL ?,La Présidente : Anna Fontcuberta i Morral et la Directrice des Affaires juridiques : Françoise Chardonnens.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4833780795606222,0.8504672897196262,0.2504876657257499
4ba994490af85235,"J'envisage de commencer mes études à l'EPFL. ""Combien d'années faut-il compter pour faire sa formation à l'EPFL ?""",Le contexte fourni ne contient pas d'informations sur la durée des formations à l'EPFL.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6005377174331222,0.14380165289256197,0.06800378439724612
802eac7cc161fd06,Est-ce qu'une décision de la Commission des prix de la recherche ou d’un jury spécifique doit être notifiées formellement au candidat par le biais d'une lettre recommandée ?,"Le contexte fourni ne contient pas d'informations spécifiques sur la notification des décisions de la Commission des prix de la recherche ou d'un jury spécifique. Par conséquent, il n'est pas possible de répondre à cette question en se basant uniquement sur le contexte donné.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2782530250088554,0.08695652173913043,0.11153335146540298
890dc8a15624e211,"Je suis en première année de bachelor et j'ai obtenu la moyenne de 3,49 au semestre. Comment m'inscrire en BA2?","Le contexte fourni ne contient pas d'informations spécifiques sur les conditions d'inscription en deuxième année de bachelor (BA2) à l'EPFL. Il est recommandé de consulter les règles et règlements spécifiques de l'EPFL concernant les conditions d'admission en BA2, qui ne sont pas mentionnées dans les extraits fournis.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5864020035510551,0.9011299435028248,0.2795194255019503
d624519ec7539df8,Est-ce qu'un doctorant peut racheter son ordinateur ?,Le contexte fourni ne contient pas d'informations sur la possibilité pour un doctorant de racheter son ordinateur.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.702983904424809,0.35962145110410093,0.20579250947057626
dd1351a61e6c3445,Je viens d'obtenir mon bachelor à l'EPFL. Quel est mon titre officiel ?,Étudiant ou étudiante.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05555555555555555,0.05,0.37816228301782895,0.10426540284360189,0.027609220216518005
