trace_id,question,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,chrf_score
45b934b749900100,Existe-t-il un code d'honneur pour les étudiants en bachelor et où puis-je le trouver?,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.8093790650250183,0.8917910447761194,0.48059476076783453
4c5d290b0fd74992,Je viens d'obtenir mon bachelor à l'EPFL. Quel est mon titre officiel ?,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.6092576180967609,0.5071090047393365,0.16339758482272726
4f15cdf0e58bedbd,"J'envisage de commencer mes études à l'EPFL. ""Combien d'années faut-il compter pour faire sa formation à l'EPFL ?""",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.843082755195348,0.8694214876033057,0.3062651368505327
5c523c6dea6cf8d2,A combien de semaines de vacances par an ai-je le droit à partir de 60 ans en tant qu'employé à l'EPFL ?,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.31418764953573164,0.03508771929824561,0.12698443408053434
74160d7265914b2d,Puis-je être immatriculé dans deux universités en même temps?,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.1,0.38888877996078014,0.42857142857142855,0.15413281166296272
78f07a9859c2f2ae,"Je suis en première année de bachelor et j'ai obtenu la moyenne de 3,49 au semestre. Comment m'inscrire en BA2?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5222534581601253,0.8926553672316384,0.27918250867940364
79b13717a081c584,Est-ce que le COSEC est rattaché à la VPF à l'EPFL ?,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.2,0.4233435207007392,0.09841269841269841,0.2303406150032189
81874baa4b2cb9bc,Quelles sont les conditons de réussite pour un bloc au niveau master à l'EPFL ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.058823529411764705,0.1,0.484712950220203,0.8501529051987767,0.2482215030587547
b30061664aff2a27,Est-ce qu'une décision de la Commission des prix de la recherche ou d’un jury spécifique doit être notifiées formellement au candidat par le biais d'une lettre recommandée ?,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.3680611548776974,0.1437125748502994,0.24902132818532113
b4b4b4f0830a6527,Est-ce qu'un doctorant peut racheter son ordinateur ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29836015534397964,0.2744479495268139,0.09534555548808153
d0fc50bb15cf0315,"En tant qu’étudiant, puis-je créer un site web pour mon association avec un nom de domaine externe (ex: monlabo.ch) au lieu d’un site epfl.ch ? Est-ce que j'ai des contraintes à respecter concernant le choix du nom de domaine ?",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.528373422704979,0.2430167597765363,0.29806840441628457
e8b6ec34289d8598,Les emprunts dans un travail écrit doivent-ils être reconnaissable via une note en bas de page ?,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,0.4295285704760166,0.16489361702127658,0.35009719317337845
ec1bdda22002282d,Quels sont les membres qui composent la Direction de l'EPFL ?,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2,0.1,0.7213271967251397,0.8504672897196262,0.3364511509817711
